Date : 2024-05-26 14:40:54
Directory : c:\Serious Project\Programing Studio 1\terrascope-frontend\src
Total : 82 files,  4539 codes, 23 comments, 228 blanks, all 4790 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\DataInformation.jsx                                                | JavaScript JSX |         61 |          0 |          1 |         62 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\Header.jsx                                                         | JavaScript JSX |         30 |          0 |          1 |         31 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\cities\SimilarPeriodCities.jsx                                            | JavaScript JSX |        174 |          0 |          6 |        180 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\countries\SimilarPeriodCountries.jsx                                      | JavaScript JSX |        148 |          0 |          8 |        156 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\find-similar-period\states\SimilarPeriodStates.jsx                                            | JavaScript JSX |        147 |          0 |          8 |        155 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\cities\TemperatureChangeOverPeriodsCity.jsx                   | JavaScript JSX |          0 |          0 |          1 |          1 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\Header.jsx                                          | JavaScript JSX |         20 |          0 |          1 |         21 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureChangeDisplay.jsx                        | JavaScript JSX |         40 |          0 |          3 |         43 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureChangeOverPeriodsCountries.jsx           | JavaScript JSX |        123 |          0 |          6 |        129 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureChangeWithInPeriod.jsx                   | JavaScript JSX |         46 |          0 |          4 |         50 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\deep-dive\temperature-change-over-periods\countries\TemperatureInformation.jsx                          | JavaScript JSX |         45 |          0 |          1 |         46 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\Home.jsx                                                                                           | JavaScript JSX |         13 |          0 |          2 |         15 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\HeroContent.jsx                                                                       | JavaScript JSX |         32 |          0 |          4 |         36 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\HeroSection.jsx                                                                       | JavaScript JSX |         11 |          0 |          3 |         14 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\hero-section\NavigationBar.jsx                                                                     | JavaScript JSX |         27 |          0 |          4 |         31 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\index.jsx                                                                                          | JavaScript JSX |          4 |          0 |          1 |          5 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\ChoroplethMap.jsx                                                              | JavaScript JSX |        119 |          3 |          5 |        127 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\MapPreviewSection.jsx                                                          | JavaScript JSX |        161 |          5 |         10 |        176 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\home\map-preview-section\WorldInformation.jsx                                                           | JavaScript JSX |          2 |          0 |          1 |          3 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\CitiesAndStatesDataDisplay.jsx                                         | JavaScript JSX |         65 |          0 |          1 |         66 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\CitiesAndStatesDataInformation.jsx                                     | JavaScript JSX |         64 |          0 |          1 |         65 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\ShallowGlanceCitiesAndStates.jsx                                       | JavaScript JSX |        137 |          4 |          8 |        149 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\cities-and-states\TableHeader.jsx                                                        | JavaScript JSX |         27 |          0 |          1 |         28 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\CountriesChangeDisplay.jsx                                                     | JavaScript JSX |         53 |          0 |          4 |         57 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\ShallowGlanceCountries.jsx                                                     | JavaScript JSX |         79 |          0 |          7 |         86 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\countries\TableHeader.jsx                                                                | JavaScript JSX |         29 |          0 |          1 |         30 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\ShallowGlanceWorld.jsx                                                             | JavaScript JSX |         95 |          1 |          6 |        102 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\SortArrowIcon.jsx                                                                  | JavaScript JSX |         14 |          0 |          2 |         16 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\TableHeader.jsx                                                                    | JavaScript JSX |         40 |          0 |          3 |         43 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\Title.jsx                                                                          | JavaScript JSX |         36 |          0 |          4 |         40 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\WorldDataChangeDisplay.jsx                                                         | JavaScript JSX |         61 |          0 |          4 |         65 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\pages\shallow-glance\world\index.jsx                                                                          | JavaScript JSX |          4 |          0 |          2 |          6 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\reportWebVitals.js                                                                                            | JavaScript     |         12 |          0 |          2 |         14 |
| c:\Serious Project\Programing Studio 1\terrascope-frontend\src\setupTests.js                                                                                                 | JavaScript     |          1 |          4 |          1 |          6 |
| Total                                                                                                                                                                        |                |      4,539 |         23 |        228 |      4,790 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
